colour	y	x	showSelected1	fill
#4283C9	3.16901408450704	225	hit	#4283C9
#4283C9	3.1830985915493	226	hit	#4283C9
#0D3A6B	3.17482517482518	227	miss	#0D3A6B
#4283C9	3.18881118881119	228	hit	#4283C9
#4283C9	3.2027972027972	229	hit	#4283C9
#0D3A6B	3.19444444444444	230	miss	#0D3A6B
#0D3A6B	3.18620689655172	231	miss	#0D3A6B
#4283C9	3.2	232	hit	#4283C9
#4283C9	3.21379310344828	233	hit	#4283C9
#0D3A6B	3.20547945205479	234	miss	#0D3A6B
#4283C9	3.21917808219178	235	hit	#4283C9
#0D3A6B	3.2108843537415	236	miss	#0D3A6B
#0D3A6B	3.2027027027027	237	miss	#0D3A6B
#4283C9	3.21621621621622	238	hit	#4283C9
#0D3A6B	3.20805369127517	239	miss	#0D3A6B
#4283C9	3.22147651006711	240	hit	#4283C9
#4283C9	3.23489932885906	241	hit	#4283C9
#0D3A6B	3.22666666666667	242	miss	#0D3A6B
#4283C9	3.24	243	hit	#4283C9
#0D3A6B	3.2317880794702	244	miss	#0D3A6B
#0D3A6B	3.22368421052632	245	miss	#0D3A6B
#0D3A6B	3.2156862745098	246	miss	#0D3A6B
#4283C9	3.22875816993464	247	hit	#4283C9
#0D3A6B	3.22077922077922	248	miss	#0D3A6B
#4283C9	3.23376623376623	249	hit	#4283C9
#0D3A6B	3.2258064516129	250	miss	#0D3A6B
#4283C9	3.23870967741936	251	hit	#4283C9
#4283C9	3.25161290322581	252	hit	#4283C9
#4283C9	3.26451612903226	253	hit	#4283C9
#4283C9	3.27741935483871	254	hit	#4283C9
#0D3A6B	3.26923076923077	255	miss	#0D3A6B
#0D3A6B	3.26114649681529	256	miss	#0D3A6B
#4283C9	3.27388535031847	257	hit	#4283C9
#4283C9	3.28662420382166	258	hit	#4283C9
#4283C9	3.29936305732484	259	hit	#4283C9
#0D3A6B	3.29113924050633	260	miss	#0D3A6B
#4283C9	3.30379746835443	261	hit	#4283C9
#4283C9	3.31645569620253	262	hit	#4283C9
#4283C9	3.32911392405063	263	hit	#4283C9
#0D3A6B	3.32075471698113	264	miss	#0D3A6B
#0D3A6B	3.3125	265	miss	#0D3A6B
#0D3A6B	3.30434782608696	266	miss	#0D3A6B
#0D3A6B	3.2962962962963	267	miss	#0D3A6B
#4283C9	3.30864197530864	268	hit	#4283C9
#0D3A6B	3.30061349693252	269	miss	#0D3A6B
#4283C9	3.31288343558282	270	hit	#4283C9
#4283C9	3.32515337423313	271	hit	#4283C9
#0D3A6B	3.31707317073171	272	miss	#0D3A6B
#0D3A6B	3.30909090909091	273	miss	#0D3A6B
#0D3A6B	3.30120481927711	274	miss	#0D3A6B
#4283C9	3.31325301204819	275	hit	#4283C9
#0D3A6B	3.30538922155689	276	miss	#0D3A6B
#0D3A6B	3.29761904761905	277	miss	#0D3A6B
#4283C9	3.30952380952381	278	hit	#4283C9
#0D3A6B	3.30177514792899	279	miss	#0D3A6B
#0D3A6B	3.29411764705882	280	miss	#0D3A6B
#0D3A6B	3.28654970760234	281	miss	#0D3A6B
#4283C9	3.29824561403509	282	hit	#4283C9
#0D3A6B	3.2906976744186	283	miss	#0D3A6B
#0D3A6B	3.28323699421965	284	miss	#0D3A6B
#0D3A6B	3.27586206896552	285	miss	#0D3A6B
#4283C9	3.28735632183908	286	hit	#4283C9
#0D3A6B	3.28	287	miss	#0D3A6B
#0D3A6B	3.27272727272727	288	miss	#0D3A6B
#4283C9	3.28409090909091	289	hit	#4283C9
#4283C9	3.29545454545455	290	hit	#4283C9
#4283C9	3.30681818181818	291	hit	#4283C9
#0D3A6B	3.29943502824859	292	miss	#0D3A6B
#4283C9	3.31073446327684	293	hit	#4283C9
#4283C9	3.32203389830509	294	hit	#4283C9
#0D3A6B	3.31460674157303	295	miss	#0D3A6B
#4283C9	3.32584269662921	296	hit	#4283C9
#4283C9	3.33707865168539	297	hit	#4283C9
#0D3A6B	3.32960893854749	298	miss	#0D3A6B
#4283C9	3.34078212290503	299	hit	#4283C9
#0D3A6B	3.33333333333333	300	miss	#0D3A6B
#4283C9	3.34444444444444	301	hit	#4283C9
#0D3A6B	3.33701657458564	302	miss	#0D3A6B
#4283C9	3.34806629834254	303	hit	#4283C9
#4283C9	3.35911602209945	304	hit	#4283C9
#0D3A6B	3.35164835164835	305	miss	#0D3A6B
#4283C9	3.36263736263736	306	hit	#4283C9
#4283C9	3.37362637362637	307	hit	#4283C9
#0D3A6B	3.36612021857924	308	miss	#0D3A6B
#4283C9	3.37704918032787	309	hit	#4283C9
#4283C9	3.3879781420765	310	hit	#4283C9
#0D3A6B	3.3804347826087	311	miss	#0D3A6B
#0D3A6B	3.37297297297297	312	miss	#0D3A6B
#0D3A6B	3.36559139784946	313	miss	#0D3A6B
#0D3A6B	3.35828877005348	314	miss	#0D3A6B
#0D3A6B	3.35106382978723	315	miss	#0D3A6B
#0D3A6B	3.34391534391534	316	miss	#0D3A6B
#0D3A6B	3.33684210526316	317	miss	#0D3A6B
#0D3A6B	3.32984293193717	318	miss	#0D3A6B
#4283C9	3.34031413612565	319	hit	#4283C9
#4283C9	3.35078534031414	320	hit	#4283C9
#4283C9	3.36125654450262	321	hit	#4283C9
#0D3A6B	3.35416666666667	322	miss	#0D3A6B
#0D3A6B	3.34715025906736	323	miss	#0D3A6B
#4283C9	3.35751295336788	324	hit	#4283C9
#4283C9	3.36787564766839	325	hit	#4283C9
#0D3A6B	3.36082474226804	326	miss	#0D3A6B
#0D3A6B	3.35384615384615	327	miss	#0D3A6B
#4283C9	3.36410256410256	328	hit	#4283C9
#4283C9	3.37435897435897	329	hit	#4283C9
#0D3A6B	3.36734693877551	330	miss	#0D3A6B
#4283C9	3.37755102040816	331	hit	#4283C9
#0D3A6B	3.37055837563452	332	miss	#0D3A6B
#4283C9	3.38071065989848	333	hit	#4283C9
#4283C9	3.39086294416244	334	hit	#4283C9
#0D3A6B	3.38383838383838	335	miss	#0D3A6B
#4283C9	3.39393939393939	336	hit	#4283C9
#4283C9	3.4040404040404	337	hit	#4283C9
#4283C9	3.41414141414141	338	hit	#4283C9
#4283C9	3.42424242424242	339	hit	#4283C9
#0D3A6B	3.41708542713568	340	miss	#0D3A6B
#0D3A6B	3.41	341	miss	#0D3A6B
#0D3A6B	3.40298507462687	342	miss	#0D3A6B
#4283C9	3.41293532338308	343	hit	#4283C9
#0D3A6B	3.40594059405941	344	miss	#0D3A6B
#0D3A6B	3.39901477832512	345	miss	#0D3A6B
#0D3A6B	3.3921568627451	346	miss	#0D3A6B
#4283C9	3.40196078431373	347	hit	#4283C9
#4283C9	3.41176470588235	348	hit	#4283C9
#4283C9	3.42156862745098	349	hit	#4283C9
#0D3A6B	3.41463414634146	350	miss	#0D3A6B
