colour	x	xend	y	yend	showSelected1	showSelected2	row_in_group	na_group
#4283C9	1.40211698568555	0.424442724630811	6.07279303777796	6.28291928380895	12	hit	69	16
#0D3A6B	3.17594269164313	3.33300248846005	6.2046153559147	7.19220445074303	12	miss	70	16
#0D3A6B	8.36261728586856	8.60233019297716	0.329291988752188	1.30013580840886	12	miss	71	16
#0D3A6B	1.00796559505266	0.295174991189418	7.49515960631056	8.1965365057336	12	miss	72	16
#0D3A6B	8.46255440785458	8.86450770721863	4.70778371438009	5.62344388340043	12	miss	73	16
#0D3A6B	1.9861338813901	2.30679158911854	0.647354324810498	1.59454946546227	12	miss	75	17
#0D3A6B	3.05608720042425	2.49502853035314	7.83126924760672	8.65904528539595	12	miss	76	17
#4283C9	2.68762514968761	1.6885888991376	8.73752674103342	8.7814194521252	12	hit	77	17
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	13	miss	80	19
#4283C9	1.40211698568555	0.424442724630811	6.07279303777796	6.28291928380895	13	hit	81	19
#0D3A6B	3.17594269164313	3.33300248846005	6.2046153559147	7.19220445074303	13	miss	82	19
#0D3A6B	8.36261728586856	8.60233019297716	0.329291988752188	1.30013580840886	13	miss	83	19
#0D3A6B	1.00796559505266	0.295174991189418	7.49515960631056	8.1965365057336	13	miss	84	19
#0D3A6B	8.46255440785458	8.86450770721863	4.70778371438009	5.62344388340043	13	miss	85	19
#0D3A6B	1.9861338813901	2.30679158911854	0.647354324810498	1.59454946546227	13	miss	87	20
#0D3A6B	3.05608720042425	2.49502853035314	7.83126924760672	8.65904528539595	13	miss	88	20
#4283C9	2.68762514968761	1.6885888991376	8.73752674103342	8.7814194521252	13	hit	89	20
#4283C9	2.20615702480383	3.0626655716046	1.17146584540232	1.68759868611024	13	hit	91	21
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	14	miss	93	22
#4283C9	1.40211698568555	0.424442724630811	6.07279303777796	6.28291928380895	14	hit	94	22
#0D3A6B	3.17594269164313	3.33300248846005	6.2046153559147	7.19220445074303	14	miss	95	22
#0D3A6B	8.36261728586856	8.60233019297716	0.329291988752188	1.30013580840886	14	miss	96	22
#0D3A6B	1.00796559505266	0.295174991189418	7.49515960631056	8.1965365057336	14	miss	97	22
#0D3A6B	8.46255440785458	8.86450770721863	4.70778371438009	5.62344388340043	14	miss	98	22
#0D3A6B	1.9861338813901	2.30679158911854	0.647354324810498	1.59454946546227	14	miss	100	23
#0D3A6B	3.05608720042425	2.49502853035314	7.83126924760672	8.65904528539595	14	miss	101	23
#4283C9	2.68762514968761	1.6885888991376	8.73752674103342	8.7814194521252	14	hit	102	23
#4283C9	2.20615702480383	3.0626655716046	1.17146584540232	1.68759868611024	14	hit	104	24
#0D3A6B	6.3248628107333	5.74220655397834	7.22308494146615	8.03580364216418	14	miss	105	24
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	15	miss	107	25
#4283C9	1.40211698568555	0.424442724630811	6.07279303777796	6.28291928380895	15	hit	108	25
#0D3A6B	3.17594269164313	3.33300248846005	6.2046153559147	7.19220445074303	15	miss	109	25
#0D3A6B	8.36261728586856	8.60233019297716	0.329291988752188	1.30013580840886	15	miss	110	25
#0D3A6B	1.00796559505266	0.295174991189418	7.49515960631056	8.1965365057336	15	miss	111	25
#0D3A6B	8.46255440785458	8.86450770721863	4.70778371438009	5.62344388340043	15	miss	112	25
#0D3A6B	1.9861338813901	2.30679158911854	0.647354324810498	1.59454946546227	15	miss	114	26
#0D3A6B	3.05608720042425	2.49502853035314	7.83126924760672	8.65904528539595	15	miss	115	26
#4283C9	2.68762514968761	1.6885888991376	8.73752674103342	8.7814194521252	15	hit	116	26
#4283C9	2.20615702480383	3.0626655716046	1.17146584540232	1.68759868611024	15	hit	118	27
#0D3A6B	6.3248628107333	5.74220655397834	7.22308494146615	8.03580364216418	15	miss	119	27
#0D3A6B	7.21646863748806	6.38792541562093	5.78098371411864	6.34090882473435	15	miss	120	27
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	16	miss	122	28
#4283C9	1.40211698568555	0.424442724630811	6.07279303777796	6.28291928380895	16	hit	123	28
#0D3A6B	3.17594269164313	3.33300248846005	6.2046153559147	7.19220445074303	16	miss	124	28
#0D3A6B	8.36261728586856	8.60233019297716	0.329291988752188	1.30013580840886	16	miss	125	28
#0D3A6B	1.00796559505266	0.295174991189418	7.49515960631056	8.1965365057336	16	miss	126	28
#0D3A6B	8.46255440785458	8.86450770721863	4.70778371438009	5.62344388340043	16	miss	127	28
#0D3A6B	1.9861338813901	2.30679158911854	0.647354324810498	1.59454946546227	16	miss	129	29
#0D3A6B	3.05608720042425	2.49502853035314	7.83126924760672	8.65904528539595	16	miss	130	29
#4283C9	2.68762514968761	1.6885888991376	8.73752674103342	8.7814194521252	16	hit	131	29
#4283C9	2.20615702480383	3.0626655716046	1.17146584540232	1.68759868611024	16	hit	133	30
#0D3A6B	6.3248628107333	5.74220655397834	7.22308494146615	8.03580364216418	16	miss	134	30
#0D3A6B	7.21646863748806	6.38792541562093	5.78098371411864	6.34090882473435	16	miss	135	30
#0D3A6B	7.13030245004099	7.39540192449588	7.31068350669655	8.27490457504329	16	miss	136	30
#0D3A6B	0.392713427562269	0.488653022777287	0.77804834466105	1.77343550253982	17	miss	138	31
#4283C9	1.40211698568555	0.424442724630811	6.07279303777796	6.28291928380895	17	hit	139	31
#0D3A6B	3.17594269164313	3.33300248846005	6.2046153559147	7.19220445074303	17	miss	140	31
#0D3A6B	8.36261728586856	8.60233019297716	0.329291988752188	1.30013580840886	17	miss	141	31
#0D3A6B	1.00796559505266	0.295174991189418	7.49515960631056	8.1965365057336	17	miss	142	31
#0D3A6B	8.46255440785458	8.86450770721863	4.70778371438009	5.62344388340043	17	miss	143	31
#0D3A6B	1.9861338813901	2.30679158911854	0.647354324810498	1.59454946546227	17	miss	145	32
#0D3A6B	3.05608720042425	2.49502853035314	7.83126924760672	8.65904528539595	17	miss	146	32
#4283C9	2.68762514968761	1.6885888991376	8.73752674103342	8.7814194521252	17	hit	147	32
#4283C9	2.20615702480383	3.0626655716046	1.17146584540232	1.68759868611024	17	hit	149	33
#0D3A6B	6.3248628107333	5.74220655397834	7.22308494146615	8.03580364216418	17	miss	150	33
#0D3A6B	7.21646863748806	6.38792541562093	5.78098371411864	6.34090882473435	17	miss	151	33
