colour	x	y	showSelected1	showSelected2	fill
#0D3A6B	7	0.273239544735163	18	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	18	miss	#0D3A6B
#4283C9	9	0.273239544735163	18	hit	#4283C9
#4283C9	10	0.432394487827058	18	hit	#4283C9
#4283C9	11	0.591549430918953	18	hit	#4283C9
#0D3A6B	12	0.400563499208679	18	miss	#0D3A6B
#0D3A6B	13	0.273239544735163	18	miss	#0D3A6B
#0D3A6B	14	0.182293862968365	18	miss	#0D3A6B
#0D3A6B	15	0.114084601643267	18	miss	#0D3A6B
#4283C9	16	0.193662073189215	18	hit	#4283C9
#4283C9	17	0.273239544735163	18	hit	#4283C9
#4283C9	18	0.35281701628111	18	hit	#4283C9
#0D3A6B	19	0.273239544735163	18	miss	#0D3A6B
#0D3A6B	2	0.363380227632419	19	miss	#0D3A6B
#4283C9	3	0.273239544735163	19	hit	#4283C9
#4283C9	4	0.909859317102744	19	hit	#4283C9
#0D3A6B	5	0.273239544735163	19	miss	#0D3A6B
#4283C9	6	0.591549430918953	19	hit	#4283C9
#0D3A6B	7	0.273239544735163	19	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	19	miss	#0D3A6B
#4283C9	9	0.273239544735163	19	hit	#4283C9
#4283C9	10	0.432394487827058	19	hit	#4283C9
#4283C9	11	0.591549430918953	19	hit	#4283C9
#0D3A6B	12	0.400563499208679	19	miss	#0D3A6B
#0D3A6B	13	0.273239544735163	19	miss	#0D3A6B
#0D3A6B	14	0.182293862968365	19	miss	#0D3A6B
#0D3A6B	15	0.114084601643267	19	miss	#0D3A6B
#4283C9	16	0.193662073189215	19	hit	#4283C9
#4283C9	17	0.273239544735163	19	hit	#4283C9
#4283C9	18	0.35281701628111	19	hit	#4283C9
#0D3A6B	19	0.273239544735163	19	miss	#0D3A6B
#0D3A6B	20	0.209577567498405	19	miss	#0D3A6B
#0D3A6B	2	0.363380227632419	20	miss	#0D3A6B
#4283C9	3	0.273239544735163	20	hit	#4283C9
#4283C9	4	0.909859317102744	20	hit	#4283C9
#0D3A6B	5	0.273239544735163	20	miss	#0D3A6B
#4283C9	6	0.591549430918953	20	hit	#4283C9
#0D3A6B	7	0.273239544735163	20	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	20	miss	#0D3A6B
#4283C9	9	0.273239544735163	20	hit	#4283C9
#4283C9	10	0.432394487827058	20	hit	#4283C9
#4283C9	11	0.591549430918953	20	hit	#4283C9
#0D3A6B	12	0.400563499208679	20	miss	#0D3A6B
#0D3A6B	13	0.273239544735163	20	miss	#0D3A6B
#0D3A6B	14	0.182293862968365	20	miss	#0D3A6B
#0D3A6B	15	0.114084601643267	20	miss	#0D3A6B
#4283C9	16	0.193662073189215	20	hit	#4283C9
#4283C9	17	0.273239544735163	20	hit	#4283C9
#4283C9	18	0.35281701628111	20	hit	#4283C9
#0D3A6B	19	0.273239544735163	20	miss	#0D3A6B
#0D3A6B	20	0.209577567498405	20	miss	#0D3A6B
#4283C9	21	0.273239544735163	20	hit	#4283C9
#0D3A6B	2	0.363380227632419	21	miss	#0D3A6B
#4283C9	3	0.273239544735163	21	hit	#4283C9
#4283C9	4	0.909859317102744	21	hit	#4283C9
#0D3A6B	5	0.273239544735163	21	miss	#0D3A6B
#4283C9	6	0.591549430918953	21	hit	#4283C9
#0D3A6B	7	0.273239544735163	21	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	21	miss	#0D3A6B
#4283C9	9	0.273239544735163	21	hit	#4283C9
#4283C9	10	0.432394487827058	21	hit	#4283C9
#4283C9	11	0.591549430918953	21	hit	#4283C9
#0D3A6B	12	0.400563499208679	21	miss	#0D3A6B
#0D3A6B	13	0.273239544735163	21	miss	#0D3A6B
#0D3A6B	14	0.182293862968365	21	miss	#0D3A6B
#0D3A6B	15	0.114084601643267	21	miss	#0D3A6B
#4283C9	16	0.193662073189215	21	hit	#4283C9
#4283C9	17	0.273239544735163	21	hit	#4283C9
#4283C9	18	0.35281701628111	21	hit	#4283C9
#0D3A6B	19	0.273239544735163	21	miss	#0D3A6B
#0D3A6B	20	0.209577567498405	21	miss	#0D3A6B
#4283C9	21	0.273239544735163	21	hit	#4283C9
#0D3A6B	22	0.215365019974474	21	miss	#0D3A6B
#0D3A6B	2	0.363380227632419	22	miss	#0D3A6B
#4283C9	3	0.273239544735163	22	hit	#4283C9
#4283C9	4	0.909859317102744	22	hit	#4283C9
#0D3A6B	5	0.273239544735163	22	miss	#0D3A6B
#4283C9	6	0.591549430918953	22	hit	#4283C9
#0D3A6B	7	0.273239544735163	22	miss	#0D3A6B
#0D3A6B	8	0.114084601643267	22	miss	#0D3A6B
#4283C9	9	0.273239544735163	22	hit	#4283C9
#4283C9	10	0.432394487827058	22	hit	#4283C9
#4283C9	11	0.591549430918953	22	hit	#4283C9
#0D3A6B	12	0.400563499208679	22	miss	#0D3A6B
#0D3A6B	13	0.273239544735163	22	miss	#0D3A6B
#0D3A6B	14	0.182293862968365	22	miss	#0D3A6B
#0D3A6B	15	0.114084601643267	22	miss	#0D3A6B
#4283C9	16	0.193662073189215	22	hit	#4283C9
#4283C9	17	0.273239544735163	22	hit	#4283C9
#4283C9	18	0.35281701628111	22	hit	#4283C9
#0D3A6B	19	0.273239544735163	22	miss	#0D3A6B
