group	clickSelects	colour	fill	key	showSelected2	showSelected3	tooltip
34	Congo (Democratic Republic of the)	#F564E3	#F564E3	Congo (Democratic Republic of the)	Congo (Democratic Republic of the)	SSA	Congo (Democratic Republic of the)
35	Costa Rica	#00BFC4	#00BFC4	Costa Rica	Costa Rica	LAC	Costa Rica
36	Côte d'Ivoire	#F564E3	#F564E3	Côte d'Ivoire	Côte d'Ivoire	SSA	Côte d'Ivoire
37	Cuba	#00BFC4	#00BFC4	Cuba	Cuba	LAC	Cuba
38	Djibouti	#F8766D	#F8766D	Djibouti	Djibouti	AS	Djibouti
39	Dominica	#00BFC4	#00BFC4	Dominica	Dominica	LAC	Dominica
40	Dominican Republic	#00BFC4	#00BFC4	Dominican Republic	Dominican Republic	LAC	Dominican Republic
41	Ecuador	#00BFC4	#00BFC4	Ecuador	Ecuador	LAC	Ecuador
42	Egypt	#F8766D	#F8766D	Egypt	Egypt	AS	Egypt
43	El Salvador	#00BFC4	#00BFC4	El Salvador	El Salvador	LAC	El Salvador
44	Equatorial Guinea	#F564E3	#F564E3	Equatorial Guinea	Equatorial Guinea	SSA	Equatorial Guinea
45	Eritrea	#F564E3	#F564E3	Eritrea	Eritrea	SSA	Eritrea
46	Eswatini (Kingdom of)	#F564E3	#F564E3	Eswatini (Kingdom of)	Eswatini (Kingdom of)	SSA	Eswatini (Kingdom of)
47	Ethiopia	#F564E3	#F564E3	Ethiopia	Ethiopia	SSA	Ethiopia
48	Fiji	#B79F00	#B79F00	Fiji	Fiji	EAP	Fiji
49	Gabon	#F564E3	#F564E3	Gabon	Gabon	SSA	Gabon
50	Gambia	#F564E3	#F564E3	Gambia	Gambia	SSA	Gambia
51	Georgia	#00BA38	#00BA38	Georgia	Georgia	ECA	Georgia
52	Ghana	#F564E3	#F564E3	Ghana	Ghana	SSA	Ghana
53	Grenada	#00BFC4	#00BFC4	Grenada	Grenada	LAC	Grenada
54	Guatemala	#00BFC4	#00BFC4	Guatemala	Guatemala	LAC	Guatemala
55	Guinea	#F564E3	#F564E3	Guinea	Guinea	SSA	Guinea
56	Guinea-Bissau	#F564E3	#F564E3	Guinea-Bissau	Guinea-Bissau	SSA	Guinea-Bissau
57	Guyana	#00BFC4	#00BFC4	Guyana	Guyana	LAC	Guyana
58	Haiti	#00BFC4	#00BFC4	Haiti	Haiti	LAC	Haiti
59	Honduras	#00BFC4	#00BFC4	Honduras	Honduras	LAC	Honduras
60	India	#619CFF	#619CFF	India	India	SA	India
61	Indonesia	#B79F00	#B79F00	Indonesia	Indonesia	EAP	Indonesia
62	Iran (Islamic Republic of)	#619CFF	#619CFF	Iran (Islamic Republic of)	Iran (Islamic Republic of)	SA	Iran (Islamic Republic of)
63	Iraq	#F8766D	#F8766D	Iraq	Iraq	AS	Iraq
64	Jamaica	#00BFC4	#00BFC4	Jamaica	Jamaica	LAC	Jamaica
65	Jordan	#F8766D	#F8766D	Jordan	Jordan	AS	Jordan
66	Kazakhstan	#00BA38	#00BA38	Kazakhstan	Kazakhstan	ECA	Kazakhstan
67	Kenya	#F564E3	#F564E3	Kenya	Kenya	SSA	Kenya
68	Kiribati	#B79F00	#B79F00	Kiribati	Kiribati	EAP	Kiribati
69	Kuwait	#F8766D	#F8766D	Kuwait	Kuwait	AS	Kuwait
70	Kyrgyzstan	#00BA38	#00BA38	Kyrgyzstan	Kyrgyzstan	ECA	Kyrgyzstan
71	Lao People's Democratic Republic	#B79F00	#B79F00	Lao People's Democratic Republic	Lao People's Democratic Republic	EAP	Lao People's Democratic Republic
72	Lebanon	#F8766D	#F8766D	Lebanon	Lebanon	AS	Lebanon
