country,iso3,year,IQ,test_type,n_individuals,domain
Libya,LBY,2007,73.265064565581,RPM,800.0,1.0
Libya,LBY,2007,82.07163750000005,RPM,2481.0,1.0
Libya,LBY,2008,80.54861103996994,RPM,592.0,1.0
Libya,LBY,2010,67.40541093573053,RPM,260.0,1.0
Libya,LBY,2010,64.85837178720467,RPM,260.0,1.0
Libya,LBY,2014,83.79046946176666,RPM,504.0,1.0
Libya,LBY,2017,89.07557437708331,RPM,903.0,1.0
Lithuania,LTU,1999,96.03037550000003,RPM,259.0,1.0
Lithuania,LTU,2000,89.76,WIS,453.0,2.0
Lithuania,LTU,2004,95.6131976811273,RPM,1067.0,1.0
Malawi,MWI,2009,69.70399301086897,RPM,268.0,1.0
Malaysia,MYS,1994,88.3818016212415,RPM,5412.0,1.0
Malaysia,MYS,2009,86.05000000000001,RPM,237.0,1.0
Mali,MLI,2017,60.0,RPM,206.0,1.0
Malta,MLT,1994,94.3605186179,RPM,136.0,1.0
Malta,MLT,2014,90.72089999999996,RPM,16.0,1.0
Malta,MLT,2014,90.72089999999996,RPM,20.0,1.0
Marshall Islands,MHL,1963,83.96000000000001,CFT,407.0,1.0
Mauritius,MUS,1980,86.82,WIS,837.0,2.0
Mexico,MEX,2000,96.40018767999996,RPM,155.0,1.0
Mexico,MEX,2000,81.38216749999998,RPM,194.0,1.0
Mexico,MEX,2000,92.41591254249994,RPM,571.0,1.0
Mexico,MEX,2012,91.1479857216,RPM,670.0,1.0
Mongolia,MNG,2003,99.35797870211248,RPM,708.0,1.0
Morocco,MAR,1996,82.83109999999999,RPM,85.0,1.0
Morocco,MAR,2005,65.33468728959997,RPM,188.0,1.0
Morocco,MAR,2010,73.30566223383782,RPM,87.0,1.0
Morocco,MAR,2010,78.98586283813165,RPM,115.0,1.0
Morocco,MAR,2011,65.31602316290108,RPM,1177.0,1.0
Morocco,MAR,2012,74.96439601589708,RPM,202.0,1.0
Morocco,MAR,2013,72.87463577779997,RPM,164.0,1.0
Namibia,NAM,2003,66.19438314685002,RPM,103.0,1.0
Nepal,NPL,1977,60.0,RPM,443.0,1.0
Nepal,NPL,1977,60.0,RPM,284.0,1.0
Nepal,NPL,1977,60.0,RPM,343.0,1.0
Nepal,NPL,1995,60.0,RPM,124.0,1.0
Nepal,NPL,2008,60.0,RPM,178.0,1.0
Nepal,NPL,2008,60.0,RPM,218.0,1.0
Nepal,NPL,2008,60.0,RPM,177.0,1.0
Nepal,NPL,2008,60.0,RPM,103.0,1.0
Netherlands,NLD,1977,111.63,WIS,388.0,2.0
Netherlands,NLD,1977,101.01335549115912,RPM,388.0,2.0
Netherlands,NLD,1978,104.95985356431244,RPM,420.0,1.0
Netherlands,NLD,1986,96.28195384615388,RPM,1920.0,1.0
Netherlands,NLD,1992,101.88313166666666,RPM,4032.0,1.0
Netherlands,NLD,1998,99.29999999999995,WIS,737.0,2.0
Netherlands,NLD,1999,105.04,WIS,416.5,2.0
Netherlands,NLD,2002,95.08,WIS,1229.0,2.0
Netherlands,NLD,2003,93.73000000000002,WIS,353.0,2.0
Netherlands,NLD,2005,101.59,WIS,364.5,2.0
Netherlands Antilles,ANT,2000,80.01445279999999,RPM,96.0,1.0
New Zealand,NZL,1972,99.09,WIS,644.0,2.0
New Zealand,NZL,1984,100.7422,RPM,3174.0,1.0
New Zealand,NZL,1985,96.395,WIS,881.0,2.0
Nicaragua,NIC,1997,60.0,RPM,488.0,1.0
Nicaragua,NIC,1997,60.0,RPM,488.0,1.0
Nicaragua,NIC,2012,63.47999999999999,WIS,110.0,2.0
Nigeria,NGA,1980,67.50150901250001,RPM,60.0,1.0
Nigeria,NGA,1980,72.2815,RPM,60.0,1.0
Nigeria,NGA,1981,73.9782689347,RPM,755.0,1.0
Nigeria,NGA,1998,76.84,WIS,94.0,2.0
Nigeria,NGA,2007,66.65784179999997,RPM,233.0,1.0
Nigeria,NGA,2007,72.59663749999999,RPM,168.0,1.0
Nigeria,NGA,2012,76.6,RPM,47.0,1.0
Nigeria,NGA,2013,67.61437265641251,RPM,693.0,1.0
Nigeria,NGA,2017,85.40101249999998,RPM,100.0,1.0
Nigeria,NGA,2017,67.13306485225002,RPM,11164.0,1.0
Norway,NOR,2000,106.19528054999998,RPM,126.0,1.0
Norway,NOR,2008,95.55999999999996,KABC,143.0,1.0
Oman,OMN,2000,85.38294268693248,RPM,1868.7272727272727,1.0
Oman,OMN,2000,77.00171935285712,RPM,3270.2727272727275,1.0
Oman,OMN,2007,85.2631473936,RPM,372.0,1.0
Oman,OMN,2009,87.84343599999998,RPM,2467.0,1.0
Oman,OMN,2009,87.74577016152858,RPM,1042.0,1.0
Oman,OMN,2014,87.72909174316669,RPM,465.0,1.0
Pakistan,PAK,1991,109.86649185560002,RPM,102.0,1.0
Pakistan,PAK,2002,66.55662822729997,RPM,1073.0,1.0
Pakistan,PAK,2002,72.97683472629998,RPM,814.0,1.0
Pakistan,PAK,2002,87.46999999999997,RPM,30.0,1.0
Pakistan,PAK,2005,77.75406083091497,RPM,1218.0,1.0
Pakistan,PAK,2005,88.18290752693957,RPM,2460.0,1.0
Pakistan,PAK,2011,77.84391523279999,RPM,203.0,1.0
Pakistan,PAK,2016,74.19999999999999,RPM,280.0,1.0
Peru,PER,1990,80.96000000000001,WIS,143.0,2.0
Peru,PER,1998,81.34700000000001,RPM,105.0,1.0
Peru,PER,2003,83.73011910601852,RPM,178.0,1.0
Peru,PER,2003,73.69989246272223,RPM,143.0,1.0
Peru,PER,2003,72.36230871307502,RPM,117.0,1.0
Peru,PER,2003,76.88152271405244,RPM,501.0,1.0
Peru,PER,2003,82.4211345057875,RPM,176.0,1.0
Peru,PER,2003,89.47710040623983,RPM,243.0,1.0
Peru,PER,2009,93.43520249999996,RPM,1096.0,1.0
Philippines,PHL,1972,84.31927290000002,RPM,203.0,1.0
Philippines,PHL,2003,92.655,WIS,185.0,2.0
Philippines,PHL,2006,93.35106916938702,NNAT,2757.0,1.0
Poland,POL,1991,100.89168571428571,RPM,1402.0,1.0
Poland,POL,2000,98.29614667200968,RPM,977.0,1.0
Poland,POL,2000,82.43423984390208,RPM,1331.0,1.0
Poland,POL,2003,89.92254,RPM,158.0,1.0
Poland,POL,2009,93.76048139157008,RPM,3650.0,1.0
Poland,POL,2014,95.09752848288622,RPM,264.0,1.0
Poland,POL,2015,101.89691302418238,RPM,68.0,1.0
Poland,POL,2016,114.4124626612,RPM,179.0,1.0
Portugal,PRT,1994,91.92380909090912,RPM,1073.0,1.0
Portugal,PRT,2006,84.92059257417475,RPM,674.0,1.0
Puerto Rico,PRI,1955,82.72,WIS,139.0,2.0
Puerto Rico,PRI,1955,86.66662542182226,SBIS,889.0,2.0
Puerto Rico,PRI,1965,76.04826974267968,WIS,1127.0,2.0
Puerto Rico,PRI,1971,74.42,WIS,96.0,2.0
Puerto Rico,PRI,1971,74.88000000000001,WIS,114.0,2.0
Puerto Rico,PRI,1977,84.38143937499999,RPM,2633.0,1.0
Puerto Rico,PRI,1977,80.64158571428572,RPM,2099.0,1.0
Puerto Rico,PRI,1977,80.17290000000001,RPM,1975.0,1.0
Puerto Rico,PRI,1980,96.21,WIS,100.0,2.0
Puerto Rico,PRI,1986,91.93636219849742,KABC,146.0,2.0
Puerto Rico,PRI,1986,80.87,WIS,22.0,2.0
Puerto Rico,PRI,1988,88.25999999999999,RPM,34.0,1.0
Puerto Rico,PRI,1989,95.62,KABC,30.0,1.0
Puerto Rico,PRI,1989,103.275,WIS,30.0,2.0
Puerto Rico,PRI,1989,73.89311169999999,RPM,327.0,1.0
Puerto Rico,PRI,1989,86.53,WIS,30.0,2.0
Puerto Rico,PRI,1990,92.6153,WIS,34.0,2.0
Puerto Rico,PRI,1990,96.7071,WIS,34.0,2.0
Puerto Rico,PRI,1990,98.3,WIS,30.0,2.0
Puerto Rico,PRI,1990,92.9,WIS,30.0,2.0
Puerto Rico,PRI,1990,105.85,RPM,30.0,1.0
Puerto Rico,PRI,1993,81.58,WIS,12.0,2.0
Puerto Rico,PRI,2005,87.24000000000001,WIS,72.0,2.0
Puerto Rico,PRI,2008,88.08073139999996,RPM,30.0,1.0
Puerto Rico,PRI,2009,93.1,WIS,40.0,2.0
Puerto Rico,PRI,2009,83.13000000000001,WIS,40.0,2.0
Qatar,QAT,2008,85.5761528032433,RPM,1135.0,1.0
