sample_id,iso3,country,year,IQ,n_individuals,test_type,Region,population,IQ_national
IND7029,IND,India,1993,82.54179350000005,39.0,RPM,South Asia,1266883598.0,76.1406215102303
IND3811,IND,India,1994,65.43666879999998,252.0,RPM,South Asia,1266883598.0,76.1406215102303
IND5899,IND,India,1994,78.3951231854,360.0,RPM,South Asia,1266883598.0,76.1406215102303
IND9908,IND,India,1994,68.077732175,290.0,RPM,South Asia,1266883598.0,76.1406215102303
IND5642,IND,India,1997,88.69931020407878,2248.0,RPM,South Asia,1266883598.0,76.1406215102303
IND7068,IND,India,1997,84.64451937499997,8609.0,RPM,South Asia,1266883598.0,76.1406215102303
IND2222,IND,India,1998,60.1872375,26.0,RPM,South Asia,1266883598.0,76.1406215102303
IND7913,IND,India,1998,60.1872375,1377.0,RPM,South Asia,1266883598.0,76.1406215102303
IND6146,IND,India,2002,65.09477599999991,1072.0,RPM,South Asia,1266883598.0,76.1406215102303
IND6600,IND,India,2004,79.70849999999996,100.75,RPM,South Asia,1266883598.0,76.1406215102303
IND6609,IND,India,2004,86.51311249999995,100.75,RPM,South Asia,1266883598.0,76.1406215102303
IND7491,IND,India,2004,72.23411249999998,100.75,RPM,South Asia,1266883598.0,76.1406215102303
IND7911,IND,India,2004,64.76306249999996,100.75,RPM,South Asia,1266883598.0,76.1406215102303
IND7193,IND,India,2010,60.0,838.0,RPM,South Asia,1266883598.0,76.1406215102303
IND5581,IND,India,2010,72.02933402050448,3636.0,RPM,South Asia,1266883598.0,76.1406215102303
IND5987,IND,India,2015,82.16333333333334,140.0,WIS,South Asia,1266883598.0,76.1406215102303
IDN3562,IDN,Indonesia,1980,60.0006050736603,25.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN3951,IDN,Indonesia,1980,69.09454173187893,64.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN5973,IDN,Indonesia,1980,88.85245147595819,74.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN4551,IDN,Indonesia,1989,87.70899999999999,130.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN2459,IDN,Indonesia,1996,80.29920000000001,54.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN5556,IDN,Indonesia,1996,86.2002,49.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN9607,IDN,Indonesia,1996,86.2002,48.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN9971,IDN,Indonesia,1996,83.8254,99.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN2772,IDN,Indonesia,1998,85.78020000000001,72.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN6114,IDN,Indonesia,1998,81.05120000000002,136.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN9052,IDN,Indonesia,1998,76.37100000000001,62.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN9117,IDN,Indonesia,1998,81.05120000000002,125.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
IDN9861,IDN,Indonesia,1998,83.40540000000001,88.0,RPM,East Asia & Pacific,258316051.0,78.7937589429188
