showSelected1	ymin	ymax	xmin	xmax
47	0	0	0.55	1.45
47	0	0	1.55	2.45
47	0	0	2.55	3.45
47	0	2	3.55	4.45
47	0	5	4.55	5.45
47	0	6	5.55	6.45
47	0	1	6.55	7.45
47	0	8	7.55	8.45
47	0	6	8.55	9.45
47	0	1	9.55	10.45
47	0	3	10.55	11.45
47	0	0	11.55	12.45
47	0	0	12.55	13.45
47	0	0	13.55	14.45
47	0	0	14.55	15.45
48	0	0	0.55	1.45
48	0	0	1.55	2.45
48	0	0	2.55	3.45
48	0	2	3.55	4.45
48	0	6	4.55	5.45
48	0	6	5.55	6.45
48	0	1	6.55	7.45
48	0	8	7.55	8.45
48	0	6	8.55	9.45
48	0	1	9.55	10.45
48	0	3	10.55	11.45
48	0	0	11.55	12.45
48	0	0	12.55	13.45
48	0	0	13.55	14.45
48	0	0	14.55	15.45
49	0	0	0.55	1.45
49	0	0	1.55	2.45
49	0	0	2.55	3.45
49	0	2	3.55	4.45
49	0	6	4.55	5.45
49	0	6	5.55	6.45
49	0	1	6.55	7.45
49	0	8	7.55	8.45
49	0	6	8.55	9.45
49	0	2	9.55	10.45
49	0	3	10.55	11.45
49	0	0	11.55	12.45
49	0	0	12.55	13.45
49	0	0	13.55	14.45
49	0	0	14.55	15.45
50	0	0	0.55	1.45
50	0	0	1.55	2.45
50	0	0	2.55	3.45
50	0	2	3.55	4.45
50	0	6	4.55	5.45
50	0	6	5.55	6.45
50	0	2	6.55	7.45
50	0	8	7.55	8.45
50	0	6	8.55	9.45
50	0	2	9.55	10.45
50	0	3	10.55	11.45
50	0	0	11.55	12.45
50	0	0	12.55	13.45
50	0	0	13.55	14.45
50	0	0	14.55	15.45
51	0	0	0.55	1.45
51	0	0	1.55	2.45
51	0	0	2.55	3.45
51	0	2	3.55	4.45
51	0	6	4.55	5.45
51	0	6	5.55	6.45
51	0	2	6.55	7.45
51	0	8	7.55	8.45
51	0	6	8.55	9.45
51	0	2	9.55	10.45
51	0	3	10.55	11.45
51	0	1	11.55	12.45
51	0	0	12.55	13.45
51	0	0	13.55	14.45
51	0	0	14.55	15.45
52	0	0	0.55	1.45
52	0	0	1.55	2.45
52	0	0	2.55	3.45
52	0	2	3.55	4.45
52	0	6	4.55	5.45
52	0	6	5.55	6.45
52	0	2	6.55	7.45
52	0	8	7.55	8.45
52	0	7	8.55	9.45
52	0	2	9.55	10.45
52	0	3	10.55	11.45
52	0	1	11.55	12.45
52	0	0	12.55	13.45
52	0	0	13.55	14.45
52	0	0	14.55	15.45
53	0	0	0.55	1.45
53	0	0	1.55	2.45
53	0	0	2.55	3.45
53	0	2	3.55	4.45
53	0	6	4.55	5.45
53	0	6	5.55	6.45
53	0	2	6.55	7.45
53	0	8	7.55	8.45
53	0	7	8.55	9.45
53	0	2	9.55	10.45
53	0	4	10.55	11.45
53	0	1	11.55	12.45
53	0	0	12.55	13.45
53	0	0	13.55	14.45
53	0	0	14.55	15.45
54	0	0	0.55	1.45
54	0	0	1.55	2.45
54	0	0	2.55	3.45
54	0	2	3.55	4.45
54	0	6	4.55	5.45
54	0	6	5.55	6.45
54	0	2	6.55	7.45
54	0	8	7.55	8.45
54	0	8	8.55	9.45
54	0	2	9.55	10.45
54	0	4	10.55	11.45
54	0	1	11.55	12.45
54	0	0	12.55	13.45
54	0	0	13.55	14.45
54	0	0	14.55	15.45
55	0	0	0.55	1.45
55	0	0	1.55	2.45
55	0	0	2.55	3.45
55	0	2	3.55	4.45
55	0	6	4.55	5.45
55	0	6	5.55	6.45
55	0	3	6.55	7.45
55	0	8	7.55	8.45
55	0	8	8.55	9.45
55	0	2	9.55	10.45
55	0	4	10.55	11.45
55	0	1	11.55	12.45
55	0	0	12.55	13.45
55	0	0	13.55	14.45
55	0	0	14.55	15.45
56	0	0	0.55	1.45
56	0	0	1.55	2.45
56	0	0	2.55	3.45
56	0	2	3.55	4.45
56	0	6	4.55	5.45
56	0	6	5.55	6.45
56	0	3	6.55	7.45
56	0	8	7.55	8.45
56	0	8	8.55	9.45
56	0	2	9.55	10.45
56	0	4	10.55	11.45
56	0	2	11.55	12.45
56	0	0	12.55	13.45
56	0	0	13.55	14.45
56	0	0	14.55	15.45
57	0	0	0.55	1.45
57	0	0	1.55	2.45
57	0	0	2.55	3.45
57	0	2	3.55	4.45
57	0	6	4.55	5.45
57	0	6	5.55	6.45
57	0	3	6.55	7.45
57	0	8	7.55	8.45
57	0	9	8.55	9.45
57	0	2	9.55	10.45
57	0	4	10.55	11.45
57	0	2	11.55	12.45
57	0	0	12.55	13.45
57	0	0	13.55	14.45
57	0	0	14.55	15.45
58	0	0	0.55	1.45
58	0	0	1.55	2.45
58	0	0	2.55	3.45
58	0	2	3.55	4.45
58	0	6	4.55	5.45
58	0	6	5.55	6.45
58	0	3	6.55	7.45
58	0	8	7.55	8.45
58	0	9	8.55	9.45
58	0	2	9.55	10.45
58	0	4	10.55	11.45
58	0	3	11.55	12.45
58	0	0	12.55	13.45
58	0	0	13.55	14.45
