ID,No.,iso3,country,Former ID,Origin (type),Origin (specif.),SES,Sample comp.,Sample char.,Lowest age,Highest age,Mean age,Age deviation,N (ind.),Sample rating,Test (type),Test (meas.),Test (calc.),Test (part),Domain,Procedure,Year (meas.),Year (std.),Time deviation,Country of std.,Testing rating,Recalc.?,Special calc.?,Test-conv.?,Raw-score (uncor.),Raw-score (cor.),IQ (uncor.),Test time adjust.,Country cor.,Add. cor.,Below threshold?,Method rating,IQ (cor.),IQ (L&V),IQ(L&V)-IQ(cor.),|IQ(L&V)-IQ(cor.)|,Full rating,QN-Factor,Short,Full,Found?,DB,L&V
BGD7140,7140.0,BGD,Bangladesh,8.1.2,4.0,Dhaka,2.0,literate,5.0,,,67.2,40.5,246.0,0.0,MSE,MMSE,MMSE,full,2.0,1.0,1995.5,1990.0,5.5,2.0,0.6666666666666666,0.0,0.0,0.0,25.1,25.1,90.5,-2.039999999999999,-2.5,2.5,0.0,0.6666666666666666,88.46000000000001,82.6,-5.860000000000014,5.860000000000014,0.4444444444444444,109.33333333333333,Lynn (2007a),"Lynn, R. (2007a). A study of the IQ in Bangladesh. Mankind Quarterly, 48, 117-122.",Y,"country correction already done in source, therefore +2.5 additional correction",The authors of the study state that 38.5 per cent of the population in Bangladesh are literate and 61.5 per cent are illiterate.
BGD7433,7433.0,BGD,Bangladesh,8.1.2,4.0,Dhaka,2.0,illiterate,5.0,,,66.4,39.7,426.0,0.0,MSE,MMSE,BAMSE,full,2.0,1.0,1995.5,1990.0,5.5,2.0,0.6666666666666666,0.0,0.0,0.0,,,77.7,-2.039999999999999,-2.5,2.5,0.0,0.0,75.66,82.6,6.939999999999998,6.939999999999998,0.2222222222222222,94.66666666666666,Lynn (2007a),"Lynn, R. (2007a). A study of the IQ in Bangladesh. Mankind Quarterly, 48, 117-122.",Y,"country correction already done in source, therefore +2.5 additional correction",The authors of the study state that 38.5 per cent of the population in Bangladesh are literate and 61.5 per cent are illiterate.
BGD9287,9287.0,BGD,Bangladesh,8.1.3,6.0,,2.0,normal,3.0,5.75,6.25,6.1,20.6,296.0,0.2,WIS,WPPSI-III,WPPSI-III,full,2.0,1.0,2004.5,2002.0,2.5,2.0,0.6666666666666666,0.0,0.0,0.0,,,75.9,-1.0200000000000067,-2.5,0.0,0.0,0.3333333333333333,72.38,76.0,3.6200000000000045,3.6200000000000045,0.39999999999999997,118.39999999999999,Wasserman et al. (2007),"Wasserman, G. A., Liu, X., Parvez, F., Ahsan, F., Factor-Litvak, P., Kline, J., van Geen, A., Slavkovich, V., LoIacono, N. J., Levy, D., Cheng, Zh., & Graziano, J. H. (2007). Water arsenic exposure and intellectual function in 6-year-old children in Araihazar, Bangladesh. Environmnetal Health Perspectives, 115, 285-296.",Y,,Wasserman (2014) report WPPSI-III data for a sample of 296 6 year old children in school in a rural area described as “not particularly poor”. They report a full-scale IQ of 75.9.
BRB1174,1174.0,BRB,Barbados,9.1.1,1.0,,2.0,control,5.0,12.0,18.5,15.4,23.200000000000003,58.0,0.0,WIS,WISC-R,WISC-R,full,2.0,1.0,1987.0,1974.0,13.0,2.0,0.5,0.0,1.0,0.0,,,95.50166666666667,-4.419999999999998,-2.5,0.0,0.0,0.3333333333333333,88.58166666666666,89.5,0.9183333333333366,0.9183333333333366,0.27777777777777773,16.111111111111107,Galler et al. (1987),"Galler, J. R., Ramsey, F. C., Forde, V., & Archer, E. (1987). Long-term effects of early kwashiorkor compared with marasmus. II. Intellectual performance. Journal of Pediatric Astroenterology & Nutrition, 6, 847-854.",Y,Non-healthy samples were excluded. No data about share of population with Marasmus or Kwashiorkor were given. Using only control sample could lead to overestimation.,Galler et al. (1987) report results a WISC-R IQ of 95.5 healthy 11-18 year olds. Deduct 4 for a 13 year the Flynn effect and 2 to equate to a British IQ gives this sample an IQ of 89.5. A comparable sample with kwashiorkor and marasmus obtained a significantly lower IQ. 
BRB6124,6124.0,BRB,Barbados,9.1.2,1.0,,2.0,control,5.0,36.0,40.0,38.13,0.46999999999999886,59.0,0.2,WIS,WASI,WASI,full,2.0,1.0,2014.0,1999.0,15.0,2.0,0.5,0.0,0.0,0.0,,,99.03,-2.3800000000000097,-2.5,0.0,0.0,0.3333333333333333,94.14999999999999,94.0,-0.14999999999999147,0.14999999999999147,0.3444444444444444,20.32222222222222,Waber et al. (2014),"Waber, D. P., Bryce, C. P., Fitzmaurice, G. M., Zichlin, M. L., McGaughy, J., Girard, J. M., & Galler, J. R. (2014). Neuropsychological outcomes at midlife following moderate to severe malnutrition in infancy. Neuropsychology, 28, 530-540.",Y,,"Waber et al. (2014) report a WASI IQ of 99 for 59 adults obtained in 2006. Deduct 3 for the Flynn effect and 2 to convert to the British IQ gives an IQ of 94.  The study also reports WASI IQ of 77 adults who were malnutrished in infancy who obtained WASI IQ of 8, adjusted down to 78. "
BLR4679,4679.0,BLR,Belarus,,1.0,,2.0,breastfed,1.0,,,6.5,33.5,6912.0,0.0,WIS,WASI,WASI,full,2.0,1.0,2003.5,1999.0,4.5,2.0,0.6666666666666666,0.0,0.0,0.0,,,101.9,-1.7000000000000028,-2.5,0.0,0.0,0.3333333333333333,97.7,100.0,2.299999999999997,2.299999999999997,0.3333333333333333,2304.0,Kramer et al. (2008),"Kramer, M. S., Aboud, F., Mironova, E., Vanilovich, I., Platt, R. W., Matush, L., ... & Shapiro, S. (2008). Breastfeeding and Child Cognitive Development. New Evidence From a Large Randomized Trial. Archives of general psychiatry, 65, 578-584.",Y,,
BLR3775,3775.0,BLR,Belarus,,1.0,,2.0,exclusive breastfed,1.0,,,6.5,33.5,6912.0,0.0,WIS,WASI,WASI,full,2.0,1.0,2003.5,1999.0,4.5,2.0,0.6666666666666666,0.0,0.0,0.0,,,109.7,-1.7000000000000028,-2.5,0.0,0.0,0.3333333333333333,105.5,100.0,-5.5,5.5,0.3333333333333333,2304.0,Kramer et al. (2008),"Kramer, M. S., Aboud, F., Mironova, E., Vanilovich, I., Platt, R. W., Matush, L., ... & Shapiro, S. (2008). Breastfeeding and Child Cognitive Development. New Evidence From a Large Randomized Trial. Archives of general psychiatry, 65, 578-584.",Y,,
BEL2726,2726.0,BEL,Belgium,,6.0,,2.0,twins,1.0,,,,41.4,104.0,0.2,WIS,WISC-R,WISC-R,full,2.0,1.0,1997.0,1974.0,23.0,2.0,0.3333333333333333,0.0,0.0,0.0,,,106.95423076923076,-7.819999999999997,-2.5,0.0,0.0,0.3333333333333333,96.63423076923077,,,,0.2888888888888889,30.044444444444448,Charlemaine & Pons (1998),"Gestel, S. F., Thiery, E., Deram, C., Beeckmans, K., & Derom, R. (1997). Intelligence in Twins: Effect of Chorion Type. Center for Human Genetics, Herestraat 49 O&N6, B-3000 Leuven, Belgium. From: Charlemaine, Ch., & Pons, C. J. (1998). What Monozygotic Twins Tell Us About Genetic Determinism. Race, Gender & Class, 5, 12-40.",Y,,
BEL5263,5263.0,BEL,Belgium,10.1.3,1.0,,2.0,twins,5.0,9.5,13.0,11.25,30.15,761.0,0.2,WIS,WISC-R,WISC-R,full,2.0,1.0,1998.0,1983.0,15.0,3.0,0.5,1.0,1.0,0.0,112.12,112.12,109.0,-9.000000000000021,-1.2,0.0,0.0,1.0,98.79999999999997,,,,0.5666666666666667,431.23333333333335,van der Sluis et al. (2008),"van der Sluis, S., Derom, C., Thiery, E., Bartels, M., Polderman, T. J. C., Verhulst, F. C., Jacobs, N., … Posthuma, D. (2008). Sex differences on the WISC-R in Belgium and The Netherlands. Intelligence, 36, 48-67.",Y,,
BEN3861,3861.0,BEN,Benin,,1.0,,2.0,normal,3.0,6.0,18.0,12.0,6.199999999999999,4054.0,0.4,RPM,SPM+,SPM+,full,1.0,1.0,2017.5,2007.0,10.5,1.0,0.8333333333333334,1.0,1.0,0.0,19.589999999999996,19.589999999999996,70.56899155794768,-0.21000000000000085,0.0,0.0,0.0,1.0,70.35899155794769,,,,0.7444444444444445,3017.9777777777776,Bakhiet et al. (2019),"Bakhiet, S. F. A., Becker, D., Mohamed, H. F. A., Abdoulaye, H. A., Ahmed, S. A. E. S., & Lynn, R. (2019). Intelligence in the West African State of Benin. Mankind Quarterly, 60(1), 75–92. https://doi.org/10.46469/mq.2019.60.1.6",Y,,
